serial,name,outlet_name,address_1,address_2,city,state,zip,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
000040,3977606,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S LUCY 20Z,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000028BE,E7F82FC8513BE02469B6AE000000000028,E7017261646975736E6574776F726B7307
000041,1204904,WESTFIELD OAKRIDGE NORDS RACK,925  BLOSSOM HILL RD STE 2005,I/S MALL ENTR,SAN JOSE,CA,951231239,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000029BE,E7F82FC8513BE02469B6AE000000000029,E7017261646975736E6574776F726B7307
000042,1171856,GREAT MALL GFV NIKEI,447  GREAT MALL DR,NIKE,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000002ABE,E7F82FC8513BE02469B6AE00000000002a,E7017261646975736E6574776F726B7307
000043,2210776,WESTFIELD SF CENTER CUBBY LOCA,865  MARKET ST,CUBBY C LEVEL,SAN FRANCISCO,CA,941031900,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000002BBE,E7F82FC8513BE02469B6AE00000000002b,E7017261646975736E6574776F726B7307
000044,2210777,WESTFIELD SF CENTER CUBBY LOCA,865  MARKET ST,CUBBY C LEVEL,SAN FRANCISCO,CA,941031900,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000002CBE,E7F82FC8513BE02469B6AE00000000002c,E7017261646975736E6574776F726B7307
000045,4205614,GREAT MALL GFV BURLINGTN,447  GREAT MALL DR,BURLINGTON COAT FAC,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000002DBE,E7F82FC8513BE02469B6AE00000000002d,E7017261646975736E6574776F726B7307
000046,1220742,STONERIDGE MALL FS,1    STONERIDGE MALL RD,GFV SURF CITY,PLEASANTON,CA,945883281,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000002EBE,E7F82FC8513BE02469B6AE00000000002e,E7017261646975736E6574776F726B7307
000047,1146612,GREAT MALL GFV CENTURY,447  GREAT MALL DR,CENTURY RIGHT SIDE,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000002FBE,E7F82FC8513BE02469B6AE00000000002f,E7017261646975736E6574776F726B7307
000048,3977617,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S NEW BALANCE MUL,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000030BE,E7F82FC8513BE02469B6AE000000000030,E7017261646975736E6574776F726B7307
000049,3977613,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S HELZBERG DIAMON,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000031BE,E7F82FC8513BE02469B6AE000000000031,E7017261646975736E6574776F726B7307
000050,1220743,STONERIDGE MALL FS,1    STONERIDGE MALL RD,GFV ENTRY WAY C BOI,PLEASANTON,CA,945883281,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000032BE,E7F82FC8513BE02469B6AE000000000032,E7017261646975736E6574776F726B7307
