route,outlet,outlet_name,address_1,address_2,city,state,zip,serial,name,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
401,3896164,SANTANA ROW LB 2ND FL,355  SANTANA ROW,LEFT BANK 2ND FL,SAN JOSE,CA,951282049,238,3896164−000238,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000EEBE,E7F82FC8513BE02469B6AE0000000000ee,E7017261646975736E6574776F726B7307
402,1494933,VG ENCLAVE APTS,4355 RENAISSANCE DR,OUTSIDE POOL AREA,SAN JOSE,CA,951341556,239,1494933−000239,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000EFBE,E7F82FC8513BE02469B6AE0000000000ef,E7017261646975736E6574776F726B7307
402,4602908,CITI GARDEN HOTEL,245  S AIRPORT BLVD,I/S SFO GOODNITE IN,SOUTH SAN FRANCIS,CA,940806703,240,4602908−000240,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F0BE,E7F82FC8513BE02469B6AE0000000000f0,E7017261646975736E6574776F726B7307
405,6501587,VG PINNACLE CITY CTR BOI,22800MERIDIAN DR,BOI REA HALLWAY ARE,HAYWARD,CA,945416525,241,6501587−000241,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F1BE,E7F82FC8513BE02469B6AE0000000000f1,E7017261646975736E6574776F726B7307
403,4234334,PALM VALLEY APPT,100  PALM VALLEY BLVD,I/S POOL AREA MULTI,SAN JOSE,CA,951231092,242,4234334−000242,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F2BE,E7F82FC8513BE02469B6AE0000000000f2,E7017261646975736E6574776F726B7307
404,4106278,CALIFORNIAS GREAT AMERICA,2401 AGNEW RD,GOLD STRIKER LINE 1,SANTA CLARA,CA,950541201,243,4106278−000243,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F3BE,E7F82FC8513BE02469B6AE0000000000f3,E7017261646975736E6574776F726B7307
401,8854896,UNIV OF SAN FRANCISCO,2130 FULTON ST,HAYES HEALY BSBL FL,SAN FRANCISCO,CA,941171080,244,8854896−000244,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F4BE,E7F82FC8513BE02469B6AE0000000000f4,E7017261646975736E6574776F726B7307
401,1251800,SHERATON HOTEL FISHERMAN WHARF,2500 MASON ST,2ND FLOOR SOUTH,SAN FRANCISCO,CA,941331499,245,1251800−000245,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F5BE,E7F82FC8513BE02469B6AE0000000000f5,E7017261646975736E6574776F726B7307
401,2768563,HOLIDAY 0323 INN FS BOI,495  BEACH ST,5TH FL VENDING AREA,SAN FRANCISCO,CA,941331328,246,2768563−000246,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F6BE,E7F82FC8513BE02469B6AE0000000000f6,E7017261646975736E6574776F726B7307
402,9621077,VG LA QUINTA INN,20   AIPORT BLVD,659 4 FL FRNT BLDG,SOUTH SAN FRANCIS,CA,94080,247,9621077−000247,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F7BE,E7F82FC8513BE02469B6AE0000000000f7,E7017261646975736E6574776F726B7307
402,3675237,SEAHORSE RANCH,1828 N CABRILLO HWY,I/S REFRESHMENT VEN,HALF MOON BAY,CA,94019,248,3675237−000248,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F8BE,E7F82FC8513BE02469B6AE0000000000f8,E7017261646975736E6574776F726B7307
401,2166600,PARK LANE APTS,520  WALKER DR,COI,MOUNTAIN VIEW,CA,940433670,249,2166600−000249,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000F9BE,E7F82FC8513BE02469B6AE0000000000f9,E7017261646975736E6574776F726B7307
402,3202645,MISSION INN,5630 MISSION ST,I/S OUTSIDE 20Z,SAN FRANCISCO,CA,941124298,250,3202645−000250,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000FABE,E7F82FC8513BE02469B6AE0000000000fa,E7017261646975736E6574776F726B7307
402,3713141,PACIFICA BEACH RESORT,525  CRESPI DR,I/S BLDG 2FLOOR 1 2,PACIFICA,CA,940443423,251,3713141−000251,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000FBBE,E7F82FC8513BE02469B6AE0000000000fb,E7017261646975736E6574776F726B7307
401,3211189,CASA ALBERTA,1575 TENAKA PL,O/S POOL MULTI,SUNNYVALE,CA,940874547,252,3211189−000252,34093409,5,100,14,F82FC8510000000000003BE02469B6AE000000FCBE,E7F82FC8513BE02469B6AE0000000000fc,E7017261646975736E6574776F726B7307
